,delA,Quantity_Returned_Y,Incremental_Y,Price_Y,Slippage_Y,Quantity_Returned_B,Incremental_B,Price_B,Slippage_B,Quantity__Returned_CPMM,Incremental_CPMM,Price_CPMM,Slippage_CPMM
0,0.0,8.319985646226518e-14,0.5975193619123859,0.0,-100.0,7.019902700320575e-14,1.0020040321613364,0.0,-100.0,1.6431300764415158e-15,1.010101010101023,0.0,-100.0
1,1.0,0.5917177465420421,0.591717746541959,1.689994944116399,0.0,0.9980039681587869,0.9980039681587167,1.0020000239527058,0.0,0.9900990099009865,0.9900990099009849,1.0100000000000036,0.0
2,2.0,1.1777228478178865,0.5860051012758444,1.698192408940396,0.48505854130129755,1.9920314930378267,0.9940275248790398,1.0040001912570276,0.199617490669457,1.9607843137254815,0.9706853038244949,1.0200000000000045,0.9900990099010798
3,3.0,1.758102290199726,0.5803794423818396,1.706385354665109,0.9698496794781519,2.9821054459515985,0.9900739529137719,1.006000644300722,0.3992634982416865,2.912621359223305,0.9518370454978236,1.0299999999999985,1.9801980198014713
4,4.0,2.332941136021763,0.574838845822037,1.7145739076901791,1.4543808938216163,3.968247966655839,0.9861425207042402,1.0080015245042562,0.5989521365354467,3.8461538461538445,0.9335324869305395,1.0400000000000005,2.970297029702662
5,5.0,2.902322580985044,0.5693814449632808,1.7227581912355887,1.9386594754766895,4.950480480350044,0.9822325136942052,1.0100029724077317,0.7986974315085993,4.7619047619047565,0.915750915750912,1.0500000000000012,3.9603960396036975
6,6.0,3.466328009375829,0.5640054283907849,1.7309383254472799,2.422692533692028,5.9288237138551345,0.9783432335050906,1.0120051277589066,0.998513330042905,5.660377358490572,0.8984725965858154,1.059999999999999,4.950495049504466
7,7.0,4.025037047202578,0.5587090378267492,1.739114427497018,2.906487001728908,6.903297711014644,0.9744739971595093,1.0140081295974042,1.1984137083478785,6.542056074766356,0.8816787162757844,1.0699999999999998,5.940594059405546
8,8.0,4.578527613344985,0.5534905661424068,1.7472866116789352,3.390049642573967,7.873921847341719,0.9706241363270749,1.0160121163382954,1.3984123803025827,7.407407407407404,0.8653513326410476,1.0800000000000005,6.930693069306604
9,9.0,5.126875968808247,0.5483483554632622,1.755454989501544,3.873387054383781,8.840714843949653,0.9667929966079347,1.0180172258535582,1.5985231055851257,8.256880733944946,0.8494733265375425,1.090000000000001,7.920792079207639
10,10.0,5.670156764165837,0.5432807953575898,1.7636196697766515,4.3565056757460585,9.803694780790083,0.9629799368404299,1.0200235955524206,1.7987595976909354,9.090909090909078,0.8340283569641311,1.1000000000000016,8.910891089108697
11,11.0,6.2084430852762775,0.5382863211104407,1.7717807587037735,4.8394117906746414,10.762879109225661,0.9591843284355779,1.0220313624605413,1.9991355318351722,9.909909909909908,0.8190008190008307,1.11,9.900990099009533
12,12.0,6.741806497345742,0.5333634120694644,1.7799383599521013,5.3221115334595614,11.718284663963844,0.9554055547381832,1.024040663297973,2.199664552733349,10.714285714285724,0.804375804375816,1.119999999999999,10.89108910891039
13,13.0,7.270317087412771,0.5285105900670288,1.7880925747388834,5.804610893304996,12.66992767437518,0.9516430104113347,1.0260516345560826,2.4003602822779913,11.504424778761068,0.7901390644753441,1.1299999999999994,11.881188118811426
14,14.0,7.794043505324387,0.5237264179116163,1.7962435019045127,6.286915718772446,13.617823775214896,0.9478961008397171,1.0280644125738125,2.601236327149725,12.280701754385966,0.7762769756248975,1.14,12.87128712871246
15,15.0,8.313053003265667,0.5190094979412798,1.8043912379853058,6.769031722087071,14.561988016770886,0.9441642415559901,1.0300791336131208,2.80230628634599,13.043478260869563,0.762776506483597,1.1500000000000001,13.861386138613474
16,16.0,8.827411473910965,0.5143584706452984,1.8125358772826339,7.25096448322835,15.50243487445615,0.9404468576852629,1.0320959339338174,3.003583758649908,13.793103448275854,0.7496251874062914,1.1600000000000006,14.85148514851451
17,17.0,9.33718348724813,0.5097720133371642,1.8206775119303422,7.732719453919401,16.439178257861467,0.936743383405318,1.0341149498680289,3.205082350061783,14.529914529914532,0.7368110816386775,1.17,15.841584158415433
18,18.0,9.84243232613867,0.505248838890541,1.8288162319589616,8.214301961426518,17.372231519287716,0.9330532614262488,1.0361363178941805,3.40681568118264,15.254237288135606,0.7243227582210743,1.179999999999999,16.831683168316335
19,19.0,10.343220020663361,0.500787694524691,1.8369521253577121,8.695717212228015,18.30160746176827,0.9293759424805543,1.0381601747109186,3.608797394591634,15.966386554621844,0.7121492664862377,1.1900000000000004,17.82178217821744
20,20.0,10.839607381303885,0.496387360640524,1.8450852781343285,9.176970295554177,19.227318346602583,0.925710884834313,1.0401866573106358,3.8110411621838702,16.66666666666667,0.7002801120448279,1.1999999999999997,18.811881188118363
21,21.0,11.331654031010277,0.492046649706392,1.8532157743725024,9.658066186786263,20.149375900403005,0.9220575538004212,1.0422159030533538,4.01356069254406,17.355371900826448,0.6887052341597766,1.21,19.801980198019375
22,22.0,11.819418436198218,0.4877644051879404,1.8613436962873466,10.139009750738403,21.067791321678055,0.9184154212750499,1.0442480497403985,4.216369738299219,18.032786885245898,0.6774149844194497,1.2200000000000002,20.792079207920388
23,23.0,12.302957936721114,0.4835395005228964,1.869469124278724,10.619805744813139,21.982575286954855,0.9147839652768006,1.0462832356884462,4.419482103508465,18.699186991869926,0.6664001066240282,1.2299999999999995,21.78217821782131
24,24.0,12.782328774856287,0.4793708381351731,1.8775921369828663,11.10045882205588,22.893737956452547,0.911162669497692,1.0483215998039173,4.622911651087724,19.354838709677423,0.6556517178074976,1.2399999999999998,22.772277227722327
